site_id,site_name,lat,lon,land_availability,existing_population,hazard_zone,distance_to_road_km,distance_to_water_km,distance_to_healthcare_km
S001,Gauchar Plain,30.2760,79.3110,High,4200,Yellow,0.5,1.2,3.0
S002,Dewalgarh,30.3400,79.2500,Medium,2100,Yellow,1.0,1.5,4.5
S003,Simli,30.3600,79.2900,Medium,1800,Yellow,1.2,2.0,5.0
S004,Chamoli Outskirts (Bairangana),30.4100,79.3300,Medium,900,Yellow,0.8,1.0,2.5
S005,Kirtinagar,30.1700,78.7500,High,3600,Green,0.6,0.8,3.5
S006,Srinagar (Garhwal) Outskirts,30.2222,78.7800,High,6500,Green,0.3,0.5,1.5
S007,Rudraprayag Outskirts (Jakholi road),30.3000,78.9500,Medium,1500,Yellow,1.5,1.8,4.0
S008,Guptkashi Lower Belt,30.5200,79.0700,Medium,1200,Yellow,1.0,1.3,3.8
S009,Pauri Outskirts,30.1469,78.7810,High,5000,Green,0.7,1.0,2.0
S010,Tehri Resettlement Zone,30.3800,78.4800,High,7200,Green,0.4,0.6,2.8
