facility_id,name,type,lat,lon
F001,District Hospital Rudraprayag,hospital,30.2849,78.9814
F002,Community Health Centre Gopeshwar,hospital,30.3915,79.3355
F003,Base Hospital Joshimath,hospital,30.5548,79.5651
F004,PHC Agastyamuni,hospital,30.4167,79.0000
F005,PHC Karnaprayag,hospital,30.2650,79.2160
F006,PHC Ukhimath,hospital,30.5286,79.1094
F007,Govt Inter College Rudraprayag,school,30.2851,78.9820
F008,Govt Inter College Gopeshwar,school,30.3920,79.3360
F009,Govt Degree College Joshimath,school,30.5552,79.5655
F010,Govt Primary School Agastyamuni,school,30.4170,79.0005
F011,Govt Inter College Karnaprayag,school,30.2655,79.2165
F012,Govt Primary School Pipalkoti,school,30.2998,79.4510
F013,Govt Inter College Chamoli,school,30.4005,79.3205
F014,Alaknanda River Water Source,water_source,30.2830,78.9800
F015,Mandakini River Water Source,water_source,30.4160,79.0000
F016,Vishnuprayag Water Source,water_source,30.5700,79.5600
F017,Nandakini Water Source,water_source,30.3200,79.3100
F018,Devprayag Confluence Water Source,water_source,30.1461,78.5978
F019,Community Water Tank Gopeshwar,water_source,30.3910,79.3350
F020,Community Water Tank Karnaprayag,water_source,30.2645,79.2155
